"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.060027828E0,-1.253699958E-1,-3.601599857E-2,1.641449928E-1
1.074033203E0,-1.253699958E-1,-3.601599857E-2,1.641449928E-1
1.088039338E0,-5.502400175E-2,1.479099970E-2,2.441979945E-1
1.102046165E0,-6.385800242E-2,9.950000094E-4,2.328370064E-1
1.116052300E0,-6.385800242E-2,9.950000094E-4,2.328370064E-1
1.130057598E0,1.323700044E-2,-5.111600086E-2,3.004640043E-1
1.144063781E0,2.338399924E-2,-3.777699918E-2,3.010469973E-1
1.158070612E0,2.338399924E-2,-3.777699918E-2,3.010469973E-1
1.172076771E0,7.730999961E-3,5.938000046E-3,2.224580050E-1
1.186082078E0,-6.580600142E-2,1.025099959E-2,1.870599985E-1
1.200088232E0,-6.837099791E-2,8.856900036E-2,1.179070026E-1
1.214095035E0,-6.837099791E-2,8.856900036E-2,1.179070026E-1
1.228101174E0,-2.062399983E-1,3.360399976E-2,1.505640000E-1
1.242106607E0,-2.201810032E-1,-2.621399984E-2,2.169270068E-1
1.256112679E0,-2.201810032E-1,-2.621399984E-2,2.169270068E-1
1.270119582E0,-5.152799934E-2,1.229800005E-2,3.260659873E-1
1.284125640E0,-4.237699881E-2,9.682500362E-2,3.046210110E-1
1.298131015E0,-4.237699881E-2,9.682500362E-2,3.046210110E-1
1.312137097E0,-7.180599868E-2,2.071820050E-1,1.969430000E-1
1.326144010E0,-1.100040004E-1,2.397850007E-1,1.454419941E-1
1.340150078E0,-3.955100104E-2,7.144600153E-2,2.126809955E-1
1.354155462E0,-3.955100104E-2,7.144600153E-2,2.126809955E-1
1.368161649E0,9.018699825E-2,-1.852079928E-1,2.010210007E-1
1.382168529E0,6.882400066E-2,-2.693969905E-1,2.567389905E-1
1.396174688E0,6.882400066E-2,-2.693969905E-1,2.567389905E-1
1.410180001E0,2.500999952E-3,-2.378299981E-1,3.144420087E-1
1.424186150E0,-4.921500012E-2,-8.080600202E-2,2.388170063E-1
1.438193024E0,-4.921500012E-2,-8.080600202E-2,2.388170063E-1
1.452199193E0,-6.537199765E-2,6.012399867E-2,1.621389985E-1
1.466204520E0,-4.377299920E-2,7.608500123E-2,1.627109945E-1
1.480210665E0,-2.224499919E-2,1.452399977E-2,2.064760029E-1
1.494217525E0,-2.224499919E-2,1.452399977E-2,2.064760029E-1
1.508223703E0,-7.513400167E-2,2.615199983E-2,2.314250022E-1
1.522229087E0,-4.308599979E-2,5.660999939E-2,2.133180052E-1
1.536235198E0,-4.308599979E-2,5.660999939E-2,2.133180052E-1
1.550242135E0,-4.349799827E-2,3.209999995E-3,1.008559987E-1
1.564248212E0,-2.835799940E-2,2.429700084E-2,1.287900060E-1
1.578253582E0,-2.835799940E-2,2.429700084E-2,1.287900060E-1
1.592259669E0,-2.411999926E-2,6.711100042E-2,2.398869991E-1
1.606266592E0,-1.188109964E-1,3.417999949E-3,2.302719951E-1
1.620272654E0,-1.039140001E-1,-3.209500015E-2,2.977139950E-1
1.634278025E0,-1.039140001E-1,-3.209500015E-2,2.977139950E-1
1.648284168E0,-1.078429967E-1,-8.335500211E-2,3.964979947E-1
1.662290982E0,-6.451299787E-2,-4.238199815E-2,1.922059953E-1
1.676297126E0,-6.451299787E-2,-4.238199815E-2,1.922059953E-1
1.690302428E0,-3.213199973E-2,-1.541099977E-2,8.733899891E-2
1.704308587E0,2.469599992E-2,4.109200090E-2,1.760469973E-1
1.718315428E0,2.469599992E-2,4.109200090E-2,1.760469973E-1
1.732321582E0,3.515499830E-2,5.141200125E-2,2.437749952E-1
1.746326837E0,-1.084899995E-2,1.988299936E-2,2.444349974E-1
1.760332986E0,-2.310300060E-2,6.142000202E-3,2.089439929E-1
1.774339818E0,-2.310300060E-2,6.142000202E-3,2.089439929E-1
1.788345938E0,-2.983899973E-2,-1.197300013E-2,2.145240009E-1
1.802351304E0,-3.551699966E-2,3.715999890E-3,2.220620066E-1
1.816357361E0,-3.551699966E-2,3.715999890E-3,2.220620066E-1
1.830364280E0,-3.583600000E-2,-8.775000460E-3,2.585810125E-1
1.844370361E0,-3.925099969E-2,-1.306900010E-2,2.857109904E-1
1.858375745E0,-3.925099969E-2,-1.306900010E-2,2.857109904E-1
1.872381813E0,-6.015900150E-2,-1.758000068E-2,2.327540070E-1
1.886388693E0,-6.746000051E-2,-1.668000035E-2,1.555559933E-1
1.900394780E0,-1.995900087E-2,1.041499991E-2,2.305620015E-1
1.914400160E0,-1.995900087E-2,1.041499991E-2,2.305620015E-1
1.928406237E0,-5.323500186E-2,-1.963000046E-3,1.895460039E-1
1.942413126E0,-7.748600096E-2,1.263299957E-2,2.469930053E-1
1.956419213E0,-7.748600096E-2,1.263299957E-2,2.469930053E-1
1.970424603E0,-4.700899869E-2,5.202000029E-3,2.237160057E-1
1.984430646E0,-2.031899989E-2,1.027199998E-2,2.415219992E-1
