"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.072286462E0,-2.357600033E-1,3.903670013E-1,2.432990074E-1
1.086292823E0,-1.287106991E0,-2.542349994E-1,-3.130867004E0
1.100298433E0,-1.287106991E0,-2.542349994E-1,-3.130867004E0
1.114303309E0,-1.329350948E0,5.177130103E-1,-3.515938044E0
1.128308909E0,-5.292490125E-1,3.532820046E-1,-3.733144045E0
1.142315299E0,-5.292490125E-1,3.532820046E-1,-3.733144045E0
1.156320949E0,1.518586040E0,-7.280179858E-1,2.156114101E0
1.170325785E0,2.692498922E0,-1.966076970E0,6.130577087E0
1.184331454E0,9.156839848E-1,-2.096137047E0,1.147397995E0
1.198337905E0,9.156839848E-1,-2.096137047E0,1.147397995E0
1.212343531E0,-1.856389940E-1,-5.442649722E-1,8.361179829E-1
1.226348353E0,5.062099919E-2,5.742130280E-1,3.574770093E-1
1.240353934E0,5.062099919E-2,5.742130280E-1,3.574770093E-1
1.254360295E0,6.974499673E-2,6.569859982E-1,2.214930058E-1
1.268365934E0,1.684630066E-1,1.400150061E-1,4.642750025E-1
1.282370752E0,1.684630066E-1,1.400150061E-1,4.642750025E-1
1.296376501E0,2.939580083E-1,-3.742980063E-1,-8.371900022E-2
1.310382848E0,2.327229977E-1,-3.353480101E-1,-2.565200068E-2
1.324388400E0,2.175160050E-1,-2.931529880E-1,1.579159945E-1
1.338393338E0,2.175160050E-1,-2.931529880E-1,1.579159945E-1
1.352398968E0,2.034610063E-1,-3.029780090E-1,2.177869976E-1
1.366405347E0,1.582099944E-1,-3.012320101E-1,1.598480046E-1
1.380411001E0,1.582099944E-1,-3.012320101E-1,1.598480046E-1
1.394415838E0,1.504829973E-1,-2.841979861E-1,1.739329994E-1
1.408421410E0,1.834480017E-1,-2.512089908E-1,2.484779954E-1
1.422427790E0,1.820169985E-1,-2.249190062E-1,2.674399912E-1
1.436433476E0,1.820169985E-1,-2.249190062E-1,2.674399912E-1
1.450438337E0,1.590780020E-1,-1.486809999E-1,2.253720015E-1
1.464444005E0,1.347959936E-1,-1.419599950E-1,1.801059991E-1
1.478450381E0,1.347959936E-1,-1.419599950E-1,1.801059991E-1
1.492455982E0,1.050530002E-1,-1.390530020E-1,1.549009979E-1
1.506460789E0,1.174120009E-1,-2.111449987E-1,1.780370027E-1
1.520466419E0,1.174120009E-1,-2.111449987E-1,1.780370027E-1
1.534472803E0,1.153530031E-1,-2.358489931E-1,2.236029953E-1
1.548478410E0,1.364379972E-1,-2.236769944E-1,2.408419997E-1
1.562483280E0,1.603319943E-1,-1.927330047E-1,1.533609927E-1
1.576488895E0,1.603319943E-1,-1.927330047E-1,1.533609927E-1
1.590495289E0,1.617400050E-1,-1.528169960E-1,1.933429986E-1
1.604500885E0,1.553290039E-1,-1.395010054E-1,2.074670047E-1
1.618505813E0,1.553290039E-1,-1.395010054E-1,2.074670047E-1
1.632511463E0,1.495739967E-1,-1.380269974E-1,2.013510019E-1
1.646517718E0,1.536439955E-1,-1.461170018E-1,2.115820050E-1
1.660523347E0,1.536439955E-1,-1.461170018E-1,2.115820050E-1
1.674528275E0,1.526840031E-1,-1.879339963E-1,2.172500044E-1
1.688533914E0,1.495379955E-1,-2.152680010E-1,1.997040063E-1
1.702540323E0,1.505379975E-1,-2.048539966E-1,1.891140044E-1
1.716545915E0,1.505379975E-1,-2.048539966E-1,1.891140044E-1
1.730550761E0,1.240150034E-1,-1.982090026E-1,1.960120052E-1
1.744556376E0,1.162410006E-1,-1.804829985E-1,1.757960021E-1
1.758562736E0,1.162410006E-1,-1.804829985E-1,1.757960021E-1
1.772568332E0,1.219569966E-1,-1.811340004E-1,1.807329953E-1
1.786573164E0,1.261669993E-1,-1.639900059E-1,1.752910018E-1
1.800578780E0,1.261669993E-1,-1.639900059E-1,1.752910018E-1
1.814585173E0,1.149749979E-1,-1.432330012E-1,1.842260063E-1
1.828590804E0,1.220439970E-1,-1.412999928E-1,1.858019978E-1
1.842595616E0,1.225150004E-1,-1.573130041E-1,1.893959939E-1
1.856601270E0,1.225150004E-1,-1.573130041E-1,1.893959939E-1
1.870607664E0,9.824100137E-2,-1.119799986E-1,2.076579928E-1
1.884613285E0,8.859000355E-2,-9.362100065E-2,2.451310009E-1
1.898618135E0,8.859000355E-2,-9.362100065E-2,2.451310009E-1
1.912623750E0,1.113250032E-1,-1.105099991E-1,2.256930023E-1
1.926630116E0,9.994299710E-2,-1.093169972E-1,2.326959968E-1
1.940635731E0,9.994299710E-2,-1.093169972E-1,2.326959968E-1
1.954640582E0,7.973700017E-2,-1.047950014E-1,2.246579975E-1
1.968646217E0,8.885300159E-2,-1.056080014E-1,2.297089994E-1
1.982652596E0,8.487100154E-2,-8.694499731E-2,9.760099649E-2
1.996658212E0,8.487100154E-2,-8.694499731E-2,9.760099649E-2
2.010663111E0,1.050890014E-1,-1.057559997E-1,1.857959926E-1
2.024668702E0,1.231430024E-1,-1.196390018E-1,2.475229949E-1
2.038675068E0,1.231430024E-1,-1.196390018E-1,2.475229949E-1
2.052680684E0,9.491200000E-2,-1.062650010E-1,2.163819969E-1
2.066685496E0,9.921599925E-2,-7.127799839E-2,8.242499828E-2
2.080691135E0,9.921599925E-2,-7.127799839E-2,8.242499828E-2
2.094697496E0,8.743199706E-2,-6.508799642E-2,2.337940037E-1
2.108703116E0,8.133599907E-2,-5.439300090E-2,2.440740019E-1
2.122707919E0,4.182500020E-2,-1.848400012E-2,1.838839948E-1
2.136713554E0,4.182500020E-2,-1.848400012E-2,1.838839948E-1
2.150719933E0,4.431299865E-2,-5.991199985E-2,1.894779950E-1
2.164725559E0,3.576099873E-2,-1.094060019E-1,2.138999999E-1
2.178730419E0,3.576099873E-2,-1.094060019E-1,2.138999999E-1
2.192736039E0,6.491199881E-2,-9.674900025E-2,2.272019982E-1
2.206742414E0,9.831500053E-2,-8.330500126E-2,2.369190007E-1
2.220748035E0,9.831500053E-2,-8.330500126E-2,2.369190007E-1
2.234752905E0,9.109000117E-2,-5.169900134E-2,2.442660034E-1
2.248758515E0,8.046399802E-2,-4.207599908E-2,2.236600071E-1
2.262764885E0,6.008100137E-2,-2.880099975E-2,2.152439952E-1
2.276770524E0,6.008100137E-2,-2.880099975E-2,2.152439952E-1
2.290775423E0,4.691899940E-2,-3.296900168E-2,1.963900030E-1
2.304781035E0,4.325899854E-2,-5.331299827E-2,2.337359935E-1
2.318787366E0,4.325899854E-2,-5.331299827E-2,2.337359935E-1
2.332792929E0,-1.990000019E-4,-4.179200158E-2,1.426230073E-1
2.346797852E0,6.063000113E-2,-6.744399667E-2,1.382959932E-1
2.360803462E0,6.063000113E-2,-6.744399667E-2,1.382959932E-1
2.374809775E0,7.107400149E-2,-7.452800125E-2,2.230519950E-1
2.388815390E0,5.403700098E-2,-4.339199886E-2,2.310640067E-1
2.402820246E0,4.567899927E-2,-6.268099695E-2,2.379509956E-1
2.416825833E0,4.567899927E-2,-6.268099695E-2,2.379509956E-1
2.430832228E0,4.705699906E-2,-2.971200086E-2,2.484080046E-1
2.444837876E0,5.387200043E-2,-2.630100027E-2,2.421640009E-1
2.458842708E0,5.387200043E-2,-2.630100027E-2,2.421640009E-1
2.472848329E0,5.189400166E-2,-3.917900100E-2,2.220280021E-1
2.486854718E0,7.772500068E-2,-3.029499948E-2,2.517899871E-1
2.500860310E0,7.772500068E-2,-3.029499948E-2,2.517899871E-1
2.514865199E0,8.102999628E-2,-4.834000021E-2,2.408570051E-1
2.528870871E0,7.641500235E-2,-2.913999930E-2,2.041250020E-1
2.542877276E0,8.278299868E-2,-2.284500003E-2,2.185740024E-1
2.556882905E0,8.278299868E-2,-2.284500003E-2,2.185740024E-1
2.570887780E0,7.021000236E-2,-5.999999848E-5,1.957750022E-1
2.584893448E0,5.522599816E-2,-1.756200008E-2,2.118809968E-1
2.598899842E0,5.522599816E-2,-1.756200008E-2,2.118809968E-1
2.612905424E0,2.804199979E-2,-1.810600050E-2,2.199130058E-1
2.626910390E0,2.628700063E-2,-3.270100057E-2,2.239030004E-1
2.640916001E0,2.628700063E-2,-3.270100057E-2,2.239030004E-1
2.654922366E0,3.487300128E-2,-3.791499883E-2,2.449280024E-1
2.668927987E0,3.809999907E-3,-3.147799894E-2,2.295230031E-1
2.682932813E0,-2.300000051E-3,-4.578100145E-2,2.633379996E-1
2.696938433E0,-2.300000051E-3,-4.578100145E-2,2.633379996E-1
2.710944861E0,3.485599905E-2,-4.171999916E-2,2.551470101E-1
2.724950443E0,2.064199932E-2,-1.602800004E-2,2.417619973E-1
2.738955266E0,2.064199932E-2,-1.602800004E-2,2.417619973E-1
2.752960861E0,9.015999734E-3,-1.316499989E-2,2.167620063E-1
2.766967222E0,1.840100065E-2,-1.348599978E-2,1.974679977E-1
2.780972842E0,1.840100065E-2,-1.348599978E-2,1.974679977E-1
2.794977616E0,3.930699825E-2,4.112999886E-3,1.928150058E-1
2.808983214E0,4.700199887E-2,-3.943800181E-2,1.742970049E-1
2.822989598E0,7.523400337E-2,-7.306999713E-2,2.557370067E-1
2.836995199E0,7.523400337E-2,-7.306999713E-2,2.557370067E-1
2.851000064E0,7.389800251E-2,-6.547900289E-2,1.336320043E-1
2.865005655E0,8.211699873E-2,-7.391099632E-2,1.836149991E-1
2.879012035E0,8.211699873E-2,-7.391099632E-2,1.836149991E-1
2.893017718E0,5.062500015E-2,-3.057499975E-2,3.018859923E-1
2.907022574E0,3.164400160E-2,-4.172999877E-3,2.680720091E-1
2.921028233E0,3.164400160E-2,-4.172999877E-3,2.680720091E-1
2.935034521E0,1.835400052E-2,1.595499925E-2,2.028920054E-1
2.949040160E0,2.915599942E-2,-1.348000020E-3,2.267740071E-1
2.963045078E0,2.465499938E-2,-3.678100184E-2,2.078189999E-1
2.977050728E0,2.465499938E-2,-3.678100184E-2,2.078189999E-1
2.991057088E0,4.206100106E-2,-6.301700324E-2,2.150609940E-1
3.005062694E0,3.948400170E-2,-5.554199964E-2,2.460979968E-1
3.019067560E0,3.948400170E-2,-5.554199964E-2,2.460979968E-1
3.033073179E0,4.318600148E-2,-4.495500028E-2,2.318139970E-1
3.047079550E0,3.202499822E-2,-2.668300085E-2,2.103099972E-1
3.061085160E0,3.202499822E-2,-2.668300085E-2,2.103099972E-1
3.075090026E0,2.067100070E-2,-1.073300000E-2,2.167750001E-1
3.089095689E0,1.846499927E-2,-2.162499912E-2,2.284079939E-1
3.103102031E0,4.449000116E-3,-2.597600035E-2,2.760410011E-1
3.117107631E0,4.449000116E-3,-2.597600035E-2,2.760410011E-1
3.131112487E0,1.504599955E-2,-2.712200023E-2,1.882340014E-1
3.145118108E0,2.304000035E-2,-4.320799932E-2,2.101159990E-1
3.159124477E0,2.304000035E-2,-4.320799932E-2,2.101159990E-1
3.173130118E0,1.866599917E-2,-3.247600049E-2,2.156450003E-1
3.187134939E0,4.270999879E-2,-1.869199984E-2,1.975490004E-1
3.201140588E0,4.270999879E-2,-1.869199984E-2,1.975490004E-1
3.215146987E0,5.272699893E-2,-9.603999555E-3,2.416629940E-1
3.229152631E0,6.889300048E-2,6.916000042E-3,2.463649958E-1
3.243157512E0,4.848099872E-2,-6.320000160E-3,2.589110136E-1
3.257163117E0,4.848099872E-2,-6.320000160E-3,2.589110136E-1
3.271169521E0,4.999300092E-2,-1.614700072E-2,2.409210056E-1
3.285175107E0,4.077899829E-2,-3.456600010E-2,2.450650036E-1
3.299179895E0,4.077899829E-2,-3.456600010E-2,2.450650036E-1
3.313185492E0,2.717499994E-2,-1.991299912E-2,2.225849926E-1
3.327191900E0,1.582100056E-2,-2.338599972E-2,2.173960060E-1
3.341197525E0,1.582100056E-2,-2.338599972E-2,2.173960060E-1
3.355202366E0,1.892800070E-2,-3.569899872E-2,2.078649998E-1
3.369208020E0,1.975299977E-2,-3.914099932E-2,2.066999972E-1
3.383214390E0,3.237099946E-2,-5.308799818E-2,2.153159976E-1
3.397219991E0,3.237099946E-2,-5.308799818E-2,2.153159976E-1
3.411224809E0,1.142499968E-2,-4.004999995E-2,2.409899980E-1
3.425230434E0,3.591300175E-2,-3.261699900E-2,2.231969982E-1
3.439236814E0,3.591300175E-2,-3.261699900E-2,2.231969982E-1
3.453242491E0,3.371499851E-2,-4.662499949E-2,2.394769937E-1
3.467247337E0,2.563999966E-2,-5.741000175E-3,2.175910026E-1
3.481252953E0,2.563999966E-2,-5.741000175E-3,2.175910026E-1
3.495259357E0,2.530000056E-4,-6.647000089E-3,2.592670023E-1
3.509264940E0,3.062500060E-2,-1.900099963E-2,2.364639938E-1
3.523269882E0,1.202899963E-2,-1.005099993E-2,2.424560040E-1
3.537275453E0,1.202899963E-2,-1.005099993E-2,2.424560040E-1
3.551281824E0,-1.733000041E-3,-1.178499963E-2,2.472160012E-1
3.565287444E0,2.105700038E-2,-3.331499919E-2,2.699739933E-1
3.579292381E0,2.105700038E-2,-3.331499919E-2,2.699739933E-1
3.593297954E0,1.555999974E-3,-1.507799979E-2,1.479920000E-1
3.607304334E0,1.970699988E-2,-5.160300061E-2,2.053679973E-1
3.621309987E0,1.970699988E-2,-5.160300061E-2,2.053679973E-1
3.635314828E0,8.578799665E-2,-8.488299698E-2,2.947939932E-1
