"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.106232910E-1,2.002399974E-2,-3.300900012E-2,3.970130086E-1
1.246288480E-1,2.002399974E-2,-3.300900012E-2,3.970130086E-1
1.386337130E-1,1.506000012E-2,-2.573800087E-2,3.274010122E-1
1.526392610E-1,8.148999885E-3,-1.116000023E-2,1.588660032E-1
1.666456650E-1,8.148999885E-3,-1.116000023E-2,1.588660032E-1
1.806512320E-1,1.007900015E-2,-1.178199984E-2,1.744710058E-1
1.946561020E-1,1.227699965E-2,-1.566999964E-2,2.228620052E-1
2.086616550E-1,1.348000020E-2,-1.774399914E-2,2.452169955E-1
2.226680500E-1,1.348000020E-2,-1.774399914E-2,2.452169955E-1
2.366736260E-1,1.562999934E-2,-2.013500035E-2,2.756389976E-1
2.506784720E-1,1.356299967E-2,-1.660400070E-2,2.414190024E-1
2.646840210E-1,1.356299967E-2,-1.660400070E-2,2.414190024E-1
2.786904000E-1,1.320600044E-2,-1.638099924E-2,2.298180014E-1
2.926959540E-1,1.157999970E-2,-1.601899974E-2,2.086739987E-1
3.067007710E-1,1.157999970E-2,-1.601899974E-2,2.086739987E-1
3.207062610E-1,1.108099986E-2,-1.858800091E-2,2.242970020E-1
3.347126360E-1,1.126000006E-2,-1.774300076E-2,2.238869965E-1
3.487181550E-1,1.446000021E-2,2.941899933E-2,1.840119958E-1
3.627229920E-1,1.446000021E-2,2.941899933E-2,1.840119958E-1
3.767284950E-1,1.172629967E-1,1.260299981E-2,2.081950009E-1
3.907348510E-1,5.525000021E-2,4.068800062E-2,2.701100111E-1
4.047403700E-1,5.525000021E-2,4.068800062E-2,2.701100111E-1
4.187451830E-1,7.604999933E-3,5.778900161E-2,2.890590131E-1
4.327507070E-1,3.572100028E-2,8.801999688E-2,2.241320014E-1
4.467570820E-1,3.572100028E-2,8.801999688E-2,2.241320014E-1
4.607626880E-1,1.175350025E-1,6.101499870E-2,2.223140001E-1
4.747674630E-1,6.872499734E-2,2.345700003E-2,2.324510068E-1
4.887730490E-1,1.059940010E-1,-1.671599969E-2,3.324440122E-1
5.027793470E-1,1.059940010E-1,-1.671599969E-2,3.324440122E-1
5.167849720E-1,1.388410032E-1,-1.489400025E-2,2.581749856E-1
5.307897980E-1,6.169499829E-2,5.772100016E-2,2.406049967E-1
5.447953760E-1,6.169499829E-2,5.772100016E-2,2.406049967E-1
5.588017550E-1,-7.373000029E-3,5.121500045E-2,2.590039968E-1
5.728072990E-1,1.441870034E-1,-4.454699904E-2,8.875499666E-2
5.868121450E-1,1.441870034E-1,-4.454699904E-2,8.875499666E-2
6.008177760E-1,4.593500122E-2,-2.495999914E-3,1.006280035E-1
6.148240730E-1,-7.592400163E-2,8.698999882E-3,2.016090006E-1
6.288296890E-1,-1.305409968E-1,4.217800125E-2,2.805680037E-1
6.428344340E-1,-1.305409968E-1,4.217800125E-2,2.805680037E-1
6.568400350E-1,-2.512300014E-2,-2.110699937E-2,2.825590074E-1
6.708463430E-1,-5.051000044E-3,-1.312700007E-2,2.635110021E-1
6.848518900E-1,-5.051000044E-3,-1.312700007E-2,2.635110021E-1
6.988567280E-1,7.053399831E-2,1.055399980E-2,1.675020009E-1
7.128623480E-1,1.741700061E-2,6.176299974E-2,9.693600237E-2
7.268686550E-1,1.741700061E-2,6.176299974E-2,9.693600237E-2
7.408743090E-1,5.670199916E-2,5.304900184E-2,2.094099969E-1
7.548791360E-1,1.597999944E-3,6.524000317E-2,3.419849873E-1
7.688846840E-1,-3.064800054E-2,1.113399956E-2,4.027079940E-1
